Ent1	Ent2	SumIC	AvgIC	Nfeats
P25789	P17980	1.0971510217233638	0.27428775543084094	4
P82664	Q9Y399	1.0971510217233638	0.27428775543084094	4
P43686	Q16186	0.9107463599997837	0.22768658999994593	4
Q99741	O43929	2.2435245275916675	0.28044056594895844	8
Q96EB6	O43524	2.0603104326743855	0.2575388040842982	8
P62875	Q9UBU7	2.7327344810266685	0.27327344810266685	10
O75817	Q9UBV8	1.6408613631104796	0.23440876615863995	7
Q7Z7A1	Q96AH0	1.6408613631104796	0.23440876615863995	7
Q13608	O00623	2.3100811381921997	0.28876014227402497	8
All	pairs	1.6408613631104796	0.27327344810266685	7
