Ent1	Ent2	SumIC	AvgIC	Nfeats
P25789	P17980	3.763484004747772	0.3763484004747772	10
P82664	Q9Y399	3.763484004747772	0.3763484004747772	10
P43686	Q16186	3.763484004747772	0.3763484004747772	10
Q99741	O43929	3.763484004747772	0.3763484004747772	10
Q96EB6	O43524	3.763484004747772	0.3763484004747772	10
P62875	Q9UBU7	3.763484004747772	0.3763484004747772	10
O75817	Q9UBV8	3.763484004747772	0.3763484004747772	10
Q7Z7A1	Q96AH0	3.763484004747772	0.3763484004747772	10
Q13608	O00623	3.763484004747772	0.3763484004747772	10
All	pairs	3.763484004747772	0.3763484004747772	10
