Ent1	Ent2	SumIC	AvgIC	Nfeats
P25789	P17980	6.074327225107501	0.5061939354256251	12
P82664	Q9Y399	6.074327225107501	0.5061939354256251	12
P43686	Q16186	6.074327225107501	0.5061939354256251	12
Q99741	O43929	6.074327225107501	0.5061939354256251	12
Q96EB6	O43524	6.074327225107501	0.5061939354256251	12
P62875	Q9UBU7	6.074327225107501	0.5061939354256251	12
O75817	Q9UBV8	6.074327225107501	0.5061939354256251	12
Q7Z7A1	Q96AH0	6.074327225107501	0.5061939354256251	12
Q13608	O00623	6.074327225107501	0.5061939354256251	12
All	pairs	6.074327225107501	0.5061939354256251	12
